Campaign,Budget,Impressions,Clicks,Spend,Orders,Sales,CTR,CPC,Conversion_Rate,ROAS,ACOS,Performance_Label
Campaign 124,100.0,1400.0,7.0,16.84,1.0,43.24,0.5,2.41,14.29,2.5677,38.95,Optimize
Campaign 184,100.0,1600.0,8.0,16.0,1.0,23.49,0.5,2.0,12.5,1.4681,68.11,Optimize
Campaign 122,100.0,2200.0,11.0,15.7,1.0,22.55,0.5,1.43,9.09,1.4363,69.62,Optimize
Campaign 181,130.0,1200.0,6.0,15.41,1.0,24.97,0.5,2.57,16.67,1.6204,61.71,Optimize
Campaign 259,10.0,2000.0,10.0,15.28,1.0,26.86,0.5,1.53,10.0,1.7579,56.89,Optimize
Campaign 326,100.0,1200.0,6.0,15.26,1.0,21.83,0.5,2.54,16.67,1.4305,69.9,Optimize
Campaign 20,8.0,1200.0,6.0,15.26,1.0,16.46,0.5,2.54,16.67,1.0786,92.71,Optimize
Campaign 228,130.0,2400.0,12.0,15.23,1.0,12.69,0.5,1.27,8.33,0.8332,120.02,Pause
Campaign 98,25.0,1200.0,6.0,15.02,1.0,49.53,0.5,2.5,16.67,3.2976,30.33,Scale
Campaign 268,130.0,2800.0,14.0,14.96,1.0,13.86,0.5,1.07,7.14,0.9265,107.94,Pause
Campaign 226,100.0,1200.0,6.0,14.76,1.0,11.65,0.5,2.46,16.67,0.7893,126.7,Pause
Campaign 166,11.0,1800.0,9.0,14.57,1.0,35.23,0.5,1.62,11.11,2.418,41.36,Optimize
Campaign 223,100.0,1400.0,7.0,14.18,1.0,18.77,0.5,2.03,14.29,1.3237,75.55,Optimize
Campaign 140,15.6,1400.0,7.0,14.13,1.0,62.21,0.5,2.02,14.29,4.4027,22.71,Scale
Campaign 296,100.0,2200.0,11.0,14.01,1.0,32.98,0.5,1.27,9.09,2.354,42.48,Optimize
Campaign 141,100.0,1200.0,6.0,13.96,1.0,41.45,0.5,2.33,16.67,2.9692,33.68,Optimize
Campaign 6,5.0,1200.0,6.0,13.91,1.0,59.59,0.5,2.32,16.67,4.284,23.34,Scale
Campaign 100,130.0,1400.0,7.0,13.88,1.0,50.28,0.5,1.98,14.29,3.6225,27.61,Scale
Campaign 220,100.0,1000.0,5.0,13.86,1.0,12.05,0.5,2.77,20.0,0.8694,115.02,Pause
Campaign 312,100.0,3600.0,18.0,13.83,1.0,24.42,0.5,0.77,5.56,1.7657,56.63,Optimize
Campaign 334,10.0,2000.0,10.0,13.8,1.0,22.47,0.5,1.38,10.0,1.6283,61.42,Optimize
Campaign 188,8.0,3800.0,19.0,13.56,1.0,24.42,0.5,0.71,5.26,1.8009,55.53,Optimize
Campaign 275,162.5,1000.0,5.0,13.4,1.0,48.3,0.5,2.68,20.0,3.6045,27.74,Scale
Campaign 234,130.0,1400.0,7.0,13.27,1.0,17.53,0.5,1.9,14.29,1.321,75.7,Optimize
Campaign 23,12.0,1200.0,6.0,13.17,1.0,23.9,0.5,2.19,16.67,1.8147,55.1,Optimize
Campaign 116,100.0,2200.0,11.0,13.16,1.0,11.28,0.5,1.2,9.09,0.8571,116.67,Pause
Campaign 115,20.0,2000.0,10.0,13.11,1.0,31.26,0.5,1.31,10.0,2.3844,41.94,Optimize
Campaign 235,16.82,1600.0,8.0,13.02,1.0,16.82,0.5,1.63,12.5,1.2919,77.41,Optimize
Campaign 13,12.0,2000.0,10.0,13.0,1.0,18.97,0.5,1.3,10.0,1.4592,68.53,Optimize
Campaign 246,100.0,1800.0,9.0,12.96,1.0,17.21,0.5,1.44,11.11,1.3279,75.31,Optimize
